IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
I19493_in.preparation	BA-S	F	2750.0	Bulgaria_EIA	72615	0.023042	0.692354	0.284604
I16326	BA-N	F	2625.0	Czech_IA_Hallstatt	487289	0.247210	0.315572	0.437218
I14200	BA-N	M	4328.0	England_BellBeaker_highEEF	158917	0.217486	0.356541	0.425974
I2446	BA-N	F	4215.0	England_BellBeaker_highWHG	476279	0.225471	0.299324	0.475205
I19043_old	BA-N	F	2200.0	England_MIA_LIA_o1_lc	14802	0.212761	0.217506	0.569733
I30333	EF-ADMIX	M	5748.0	England_N_Megalithic	47107	0.216220	0.749047	0.034734
I13433	BA-S	F	3200.0	Greece_Delphi_BA_Mycenaean	61071	0.000010	0.678234	0.321756
I13531	BA-S	F	3200.0	Greece_Delphi_BA_Mycenaean	66140	0.000010	0.626408	0.373582
I13580	BA-S	M	3169.0	Greece_Delphi_BA_Mycenaean	133904	0.000010	0.650800	0.349190
I13778	BA-S	M	3234.0	Montenegro_MLBA	829436	0.057061	0.482103	0.460836
I1926	EF	M	5649.0	Ukraine_Eneolithic_Trypillia	216396	0.196372	0.677068	0.126560
I5870	HG	M	7363.0	Ukraine_N	211381	0.680305	0.000010	0.319685
I3719	EF	M	6831.0	Ukraine_Eneolithic_o2	188830	0.013765	0.920744	0.065491
I3716	HG	M	7347.0	Ukraine_N	93708	0.670273	0.000010	0.329717
I5872	HG	M	7374.0	Ukraine_N	95751	0.677544	0.000010	0.322446
I14688	BA-S	M	2450.0	Albania_BA_IA	765405	0.027308	0.526998	0.445694
I14690	BA-S	M	3000.0	Albania_BA_IA	748453	0.084264	0.501232	0.414504
I14692	BA-S	F	2900.0	Albania_BA_IA	799291	0.068735	0.523527	0.407738
I16251	BA-S	M	2500.0	Albania_BA_IA	422282	0.075538	0.527485	0.396977
I16254	BA-S	M	2450.0	Albania_BA_IA	149756	0.073107	0.528467	0.398427
I16256	BA-S	F	2500.0	Albania_BA_IA_1d.rel.I17633	286692	0.092905	0.487504	0.419590
I17640	BA-N	M	2450.0	Albania_BA_IA_lc	6236	0.271331	0.348055	0.380614
I17623	BA-S	M	1050.0	Albania_BA_IA_o_lc	5002	0.039213	0.518615	0.442172
I14691	BA-S	F	3500.0	Albania_BA_IA_o2_lc	4178	0.055596	0.565479	0.378925
I15705	EF	F	8096.0	Albania_EN_oEEF	99632	0.000010	0.936797	0.063193
I16253	BA-S	M	2426.0	Albania_IA	377693	0.086050	0.515061	0.398888
I13838	EF	M	6200.0	Albania_LN_C	838393	0.000010	0.901331	0.098659
I13840	EF	M	6102.0	Albania_LN_C	846242	0.000010	0.921911	0.078079
I8471	BA-S	M	3745.0	Albania_MBA	176868	0.059402	0.484859	0.455739
I13839	BA-S	F	1014.0	Albania_Medieval	813107	0.048684	0.550443	0.400873
I14622	BA-S	M	1121.0	Albania_Medieval	675003	0.039200	0.527588	0.433211
I14685	BA-S	F	400.0	Albania_Modern	766093	0.068150	0.494228	0.437621
I15706	BA-S	M	320.0	Albania_Modern	798528	0.066526	0.479762	0.453712
I14686	BA-S	M	400.0	Albania_Modern_oCaucasus	780568	0.050195	0.546390	0.403415
I14687	BA-S	M	400.0	Albania_Modern_oCaucasus	723706	0.042727	0.536672	0.420601
I15707	BA-S	M	399.0	Albania_Modern_oCaucasus	792864	0.047630	0.550431	0.401940
I5068	EF	M	7088.0	Austria_EN_LBK	322819	0.059584	0.871544	0.068872
I5069	EF	F	6961.0	Austria_EN_LBK	842569	0.039668	0.898746	0.061586
I11699	BA-S	F	2300.0	Austria_IA_LaTene	850709	0.146399	0.447974	0.405627
I11701	BA-S	M	2300.0	Austria_IA_LaTene	853050	0.109490	0.457842	0.432667
I11708	BA-S	F	2300.0	Austria_IA_LaTene	810008	0.158676	0.458302	0.383021
I5208	EF	F	7150.0	Austria_N_LBK	897878	0.028292	0.924888	0.046820
I6912_noUDG	EF	M	7088.0	Austria_N_LBK	39670	0.102671	0.507362	0.389967
I5205	EF	F	7150.0	Austria_N_LBK	830976	0.049564	0.904244	0.046192
I5206	EF	F	7150.0	Austria_N_LBK	810752	0.039096	0.923286	0.037617
I5207	EF	M	7150.0	Austria_N_LBK	903978	0.033743	0.918465	0.047792
I19561	BA-N	M	702.0	BosniaHerzegovina_Medieval	450698	0.140311	0.275236	0.584453
Bul6	EF	M	4450.0	Bulgaria_BeliBreyag_EBA	377194	0.193170	0.687296	0.119533
Bul8	EF	M	4450.0	Bulgaria_BeliBreyag_EBA	18835	0.196227	0.648307	0.155465
I0781	EF	F	6404.0	Bulgaria_C	478719	0.019674	0.837270	0.143055
I0785	EF	F	6353.0	Bulgaria_C	75744	0.000010	0.890123	0.109867
I2423	EF	F	6381.0	Bulgaria_C	499189	0.099161	0.836912	0.063927
I2424	EF	F	6288.0	Bulgaria_C	651781	0.078792	0.802432	0.118776
I2425	EF	F	6475.0	Bulgaria_C	212849	0.087495	0.786825	0.125679
I2427	EF	F	6326.0	Bulgaria_C	660742	0.048811	0.850293	0.100895
I2428	EF	M	6400.0	Bulgaria_C	73718	0.049993	0.789741	0.160267
I2430	EF	M	6448.0	Bulgaria_C	606182	0.092383	0.809889	0.097728
I2431	EF	M	6624.0	Bulgaria_C	723399	0.102937	0.779709	0.117354
I2509	EF	F	6350.0	Bulgaria_C	859182	0.061904	0.858278	0.079817
I2519	EF	F	6237.0	Bulgaria_C	764671	0.020889	0.856585	0.122526
I2526	EF	F	7293.0	Bulgaria_C	372821	0.027331	0.932827	0.039843
I2181	BA-N	M	6458.0	Bulgaria_C_oSteppe	70392	0.126447	0.418378	0.455175
I2426	EF	M	6302.0	Bulgaria_C	29922	0.110068	0.786218	0.103714
I19451	BA-S	F	4450.0	Bulgaria_EBA	348955	0.153553	0.610411	0.236036
I19452	BA-S	M	4450.0	Bulgaria_EBA	372134	0.147948	0.626909	0.225143
I19453	BA-S	F	4450.0	Bulgaria_EBA	58535	0.125893	0.538704	0.335402
I19454	BA-S	M	4450.0	Bulgaria_EBA	468636	0.158161	0.623725	0.218114
I19456_d	BA-S	M	4450.0	Bulgaria_EBA	64509	0.129345	0.636721	0.233934
I19459	BA-S	F	4325.0	Bulgaria_EBA	219901	0.119177	0.502490	0.378334
I19460	BA-S	F	4325.0	Bulgaria_EBA	141934	0.107049	0.482331	0.410620
I19462	BA-S	F	4450.0	Bulgaria_EBA	87391	0.133917	0.450851	0.415232
I2175	BA-S	M	5097.0	Bulgaria_EBA	416933	0.147561	0.654044	0.198396
I2180	BA-S	F	4959.0	Bulgaria_EBA	839366	0.203487	0.565851	0.230663
I2520	BA-S	M	5153.0	Bulgaria_EBA	780304	0.207263	0.623102	0.169635
I2177	BA-S	M	5150.0	Bulgaria_EBA_1d.rel.I2176	34472	0.151751	0.556251	0.291997
Bul10	BA-S	F	4951.0	Bulgaria_EBA_Ezero	70039	0.188833	0.649269	0.161899
I12834	EF	M	4950.0	Bulgaria_EBA_Ezero_lc	10664	0.082959	0.650158	0.266883
I20182	BA-S	M	4100.0	Bulgaria_EBA_MBA	781393	0.059929	0.436180	0.503891
I2510	EF	M	4794.0	Bulgaria_EBA_o1	806624	0.054160	0.842467	0.103374
I2165	BA-S	M	4910.0	Bulgaria_EBA_o2	839875	0.204496	0.436674	0.358830
I19458	BA-S	M	4337.0	Bulgaria_EBA_oNorth	217402	0.130746	0.451652	0.417603
I19457_in.preparation	BA-S	M	4325.0	Bulgaria_EBA_oNorth_in.preparation	189726	0.109759	0.406286	0.483955
I15844	BA-S	F	2850.0	Bulgaria_EIA	48173	0.056903	0.645609	0.297488
I19481	BA-S	F	2550.0	Bulgaria_EIA	183315	0.007247	0.641851	0.350902
I19487	EF	M	2750.0	Bulgaria_EIA	21554	0.063522	0.663068	0.273411
